Problem:    
Rows:       230
Columns:    660 (660 integer, 0 binary)
Non-zeros:  1400
Status:     INTEGER OPTIMAL
Objective:  obj = 4676 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
   327 f_2_20_13    *              0             0           500 
   328 f_2_26_13    *              0             0           500 
   329 f_2_38_13    *              0             0           500 
   330 f_2_13_14    *              0             0            50 
   331 f_2_14_19    *              0             0           500 
   332 f_2_14_25    *              0             0           500 
   333 f_2_14_37    *              0             0           500 
   334 f_2_18_15    *              0             0           500 
   335 f_2_24_15    *              0             0           500 
   336 f_2_30_15    *              0             0           500 
   337 f_2_34_15    *              0             0           500 
   338 f_2_40_15    *              0             0           500 
   339 f_2_15_16    *              0             0            50 
   340 f_2_16_17    *              0             0           500 
   341 f_2_16_23    *              0             0           500 
   342 f_2_16_29    *              0             0           500 
   343 f_2_16_33    *              0             0           500 
   344 f_2_16_39    *              0             0           500 
   345 f_2_24_17    *              0             0           500 
   346 f_2_26_17    *              0             0           500 
   347 f_2_30_17    *              0             0           500 
   348 f_2_32_17    *              0             0           500 
   349 f_2_34_17    *              0             0           500 
   350 f_2_36_17    *              0             0           500 
   351 f_2_40_17    *              0             0           500 
   352 f_2_17_18    *              0             0            50 
   353 f_2_18_23    *              0             0           500 
   354 f_2_18_25    *              0             0           500 
   355 f_2_18_29    *              0             0           500 
   356 f_2_18_31    *              0             0           500 
   357 f_2_18_33    *              0             0           500 
   358 f_2_18_35    *              0             0           500 
   359 f_2_18_39    *              0             0           500 
   360 f_2_19_20    *              0             0            50 
   361 f_2_40_21    *              0             0           500 
   362 f_2_21_22    *              0             0            50 
   363 f_2_22_39    *              0             0           500 
   364 f_2_30_23    *              0             0           500 
   365 f_2_34_23    *              0             0           500 
   366 f_2_36_23    *              0             0           500 
   367 f_2_40_23    *              0             0           500 
   368 f_2_23_24    *              0             0            50 
   369 f_2_24_29    *              0             0           500 
   370 f_2_24_33    *              0             0           500 
   371 f_2_24_35    *              0             0           500 
   372 f_2_24_39    *              0             0           500 
   373 f_2_28_25    *              0             0           500 
   374 f_2_30_25    *              0             0           500 
   375 f_2_34_25    *              0             0           500 
   376 f_2_36_25    *              0             0           500 
   377 f_2_38_25    *              0             0           500 
   378 f_2_25_26    *              0             0            50 
   379 f_2_26_27    *              0             0           500 
   380 f_2_26_29    *              0             0           500 
   381 f_2_26_33    *              0             0           500 
   382 f_2_26_35    *              0             0           500 
   383 f_2_26_37    *              0             0           500 
   384 f_2_30_27    *              0             0           500 
   385 f_2_36_27    *              0             0           500 
   386 f_2_38_27    *              0             0           500 
   387 f_2_27_28    *              0             0            50 
   388 f_2_28_29    *              0             0           500 
   389 f_2_28_35    *              0             0           500 
   390 f_2_28_37    *              0             0           500 
   391 f_2_34_29    *              0             0           500 
   392 f_2_36_29    *              0             0           500 
   393 f_2_38_29    *              0             0           500 
   394 f_2_29_30    *              0             0            50 
   395 f_2_30_33    *              0             0           500 
   396 f_2_30_35    *              0             0           500 
   397 f_2_30_37    *              0             0           500 
   398 f_2_31_32    *              0             0            50 
   399 f_2_36_33    *              0             0           500 
   400 f_2_40_33    *              0             0           500 
   401 f_2_33_34    *              0             0            50 
